tool,depth,trial,nanoseconds
easyenv,0,1,2229925
easyenv,0,2,2078085
easyenv,0,3,2066538
easyenv,0,4,2061387
easyenv,0,5,2049926
easyenv,0,6,2082808
easyenv,0,7,2001366
easyenv,0,8,2038455
easyenv,0,9,2062383
easyenv,0,10,2152659
easyenv,0,11,2263424
easyenv,0,12,2311250
easyenv,0,13,2091210
easyenv,0,14,2024028
easyenv,0,15,2022146
direnv,0,1,3383807
direnv,0,2,3273087
direnv,0,3,3225394
direnv,0,4,3065962
direnv,0,5,3091149
direnv,0,6,3104777
direnv,0,7,3137363
direnv,0,8,3233104
direnv,0,9,3217959
direnv,0,10,3044828
direnv,0,11,3052171
direnv,0,12,3205869
direnv,0,13,3109544
direnv,0,14,3202692
direnv,0,15,3233340
autoenv,0,1,8090452
autoenv,0,2,8012884
autoenv,0,3,8179561
autoenv,0,4,8084011
autoenv,0,5,8250686
autoenv,0,6,8539241
autoenv,0,7,8010067
autoenv,0,8,8090016
autoenv,0,9,9113557
autoenv,0,10,8125916
autoenv,0,11,8082677
autoenv,0,12,8146169
autoenv,0,13,8012945
autoenv,0,14,7991717
autoenv,0,15,7987851
easyenv,1,1,2398534
easyenv,1,2,2086038
easyenv,1,3,2075000
easyenv,1,4,2225077
easyenv,1,5,2108688
easyenv,1,6,2040356
easyenv,1,7,2116788
easyenv,1,8,2037982
easyenv,1,9,2398265
easyenv,1,10,2039198
easyenv,1,11,2009036
easyenv,1,12,2025978
easyenv,1,13,1981193
easyenv,1,14,2023257
easyenv,1,15,1983289
direnv,1,1,16876386
direnv,1,2,14172356
direnv,1,3,14519454
direnv,1,4,13990427
direnv,1,5,14783900
direnv,1,6,13727836
direnv,1,7,14189301
direnv,1,8,18427574
direnv,1,9,14111731
direnv,1,10,14196800
direnv,1,11,13968847
direnv,1,12,13733132
direnv,1,13,14269755
direnv,1,14,13747335
direnv,1,15,13875656
autoenv,1,1,20889096
autoenv,1,2,15312358
autoenv,1,3,15293663
autoenv,1,4,16339727
autoenv,1,5,17421174
autoenv,1,6,17201625
autoenv,1,7,17438832
autoenv,1,8,17409842
autoenv,1,9,16766240
autoenv,1,10,16800263
autoenv,1,11,16783457
autoenv,1,12,15554466
autoenv,1,13,15371783
autoenv,1,14,15355906
autoenv,1,15,15669788
easyenv,2,1,2195443
easyenv,2,2,2098435
easyenv,2,3,2091995
easyenv,2,4,2080685
easyenv,2,5,2316889
easyenv,2,6,2069277
easyenv,2,7,2062628
easyenv,2,8,2064771
easyenv,2,9,2074778
easyenv,2,10,2296166
easyenv,2,11,2130170
easyenv,2,12,2107420
easyenv,2,13,2172852
easyenv,2,14,2085698
easyenv,2,15,2066927
direnv,2,1,14707969
direnv,2,2,14288078
direnv,2,3,14232903
direnv,2,4,14492312
direnv,2,5,14425154
direnv,2,6,14442442
direnv,2,7,14015578
direnv,2,8,13885266
direnv,2,9,14037660
direnv,2,10,13745950
direnv,2,11,13928402
direnv,2,12,13469811
direnv,2,13,14036994
direnv,2,14,13836657
direnv,2,15,13729996
autoenv,2,1,32927371
autoenv,2,2,23171227
autoenv,2,3,22811499
autoenv,2,4,22776439
autoenv,2,5,22737826
autoenv,2,6,24071207
autoenv,2,7,24799397
autoenv,2,8,25542403
autoenv,2,9,25309711
autoenv,2,10,25113320
autoenv,2,11,24820834
autoenv,2,12,24783886
autoenv,2,13,22984861
autoenv,2,14,23236802
autoenv,2,15,22832083
easyenv,4,1,2250880
easyenv,4,2,2284360
easyenv,4,3,2070624
easyenv,4,4,2071048
easyenv,4,5,2122411
easyenv,4,6,2111896
easyenv,4,7,2135119
easyenv,4,8,2126613
easyenv,4,9,2082280
easyenv,4,10,2047149
easyenv,4,11,2113999
easyenv,4,12,2118254
easyenv,4,13,2046384
easyenv,4,14,2125390
easyenv,4,15,2072770
direnv,4,1,14760028
direnv,4,2,14735281
direnv,4,3,14396194
direnv,4,4,14176035
direnv,4,5,14091960
direnv,4,6,14110699
direnv,4,7,14391463
direnv,4,8,14509547
direnv,4,9,14418487
direnv,4,10,14148906
direnv,4,11,13956434
direnv,4,12,13805046
direnv,4,13,13795775
direnv,4,14,13814206
direnv,4,15,14380510
autoenv,4,1,57299217
autoenv,4,2,38538740
autoenv,4,3,38626984
autoenv,4,4,39362772
autoenv,4,5,44480571
autoenv,4,6,42440228
autoenv,4,7,42217143
autoenv,4,8,42183415
autoenv,4,9,41150082
autoenv,4,10,37026779
autoenv,4,11,37648217
autoenv,4,12,37711319
autoenv,4,13,38327555
autoenv,4,14,39625745
autoenv,4,15,38027052
easyenv,8,1,2209361
easyenv,8,2,2136731
easyenv,8,3,2093759
easyenv,8,4,2106348
easyenv,8,5,2112406
easyenv,8,6,2096657
easyenv,8,7,2293238
easyenv,8,8,2091212
easyenv,8,9,2050832
easyenv,8,10,2198302
easyenv,8,11,2077088
easyenv,8,12,2080610
easyenv,8,13,2097715
easyenv,8,14,2092781
easyenv,8,15,2082075
direnv,8,1,14365085
direnv,8,2,14284574
direnv,8,3,14504740
direnv,8,4,14174212
direnv,8,5,14099353
direnv,8,6,14063151
direnv,8,7,14454340
direnv,8,8,14173857
direnv,8,9,14086940
direnv,8,10,13990156
direnv,8,11,13925226
direnv,8,12,14335739
direnv,8,13,14494799
direnv,8,14,13854973
direnv,8,15,13857307
autoenv,8,1,104560996
autoenv,8,2,68477726
autoenv,8,3,68443845
autoenv,8,4,66918673
autoenv,8,5,67246909
autoenv,8,6,69601508
autoenv,8,7,68994961
autoenv,8,8,69071686
autoenv,8,9,69884710
autoenv,8,10,68042301
autoenv,8,11,68689580
autoenv,8,12,68544512
autoenv,8,13,68138415
autoenv,8,14,66777854
autoenv,8,15,67840124
easyenv,16,1,2285332
easyenv,16,2,2185093
easyenv,16,3,2142414
easyenv,16,4,2114763
easyenv,16,5,2149234
easyenv,16,6,2150626
easyenv,16,7,2142448
easyenv,16,8,2128720
easyenv,16,9,2148817
easyenv,16,10,2205461
easyenv,16,11,2123612
easyenv,16,12,2123032
easyenv,16,13,2175313
easyenv,16,14,2093663
easyenv,16,15,2139329
direnv,16,1,15178114
direnv,16,2,14838597
direnv,16,3,14873196
direnv,16,4,15104733
direnv,16,5,14795714
direnv,16,6,14747021
direnv,16,7,14457913
direnv,16,8,15000652
direnv,16,9,14778159
direnv,16,10,14966181
direnv,16,11,14375473
direnv,16,12,14605612
direnv,16,13,15089209
direnv,16,14,14651952
direnv,16,15,14115326
autoenv,16,1,208408475
autoenv,16,2,131098606
autoenv,16,3,128633897
autoenv,16,4,133772655
autoenv,16,5,149255470
autoenv,16,6,139268010
autoenv,16,7,133582637
autoenv,16,8,135675853
autoenv,16,9,132990412
autoenv,16,10,134143021
autoenv,16,11,130299227
autoenv,16,12,130011821
autoenv,16,13,129417621
autoenv,16,14,129201301
autoenv,16,15,130297896
easyenv,32,1,2485868
easyenv,32,2,2293021
easyenv,32,3,2206967
easyenv,32,4,2287257
easyenv,32,5,2307990
easyenv,32,6,2231937
easyenv,32,7,2277276
easyenv,32,8,2290535
easyenv,32,9,2273420
easyenv,32,10,2297853
easyenv,32,11,2319787
easyenv,32,12,2274047
easyenv,32,13,2306376
easyenv,32,14,2285594
easyenv,32,15,2294052
direnv,32,1,16267087
direnv,32,2,16304247
direnv,32,3,16328182
direnv,32,4,15732231
direnv,32,5,15844850
direnv,32,6,15652721
direnv,32,7,15372075
direnv,32,8,15528876
direnv,32,9,15574085
direnv,32,10,15588972
direnv,32,11,16113828
direnv,32,12,16279613
direnv,32,13,15997804
direnv,32,14,15856045
direnv,32,15,15740736
autoenv,32,1,452872410
autoenv,32,2,255552092
autoenv,32,3,254653152
autoenv,32,4,256868508
autoenv,32,5,258395294
autoenv,32,6,254644937
autoenv,32,7,255913044
autoenv,32,8,257507023
autoenv,32,9,259707345
autoenv,32,10,258891101
autoenv,32,11,264158838
autoenv,32,12,279712444
autoenv,32,13,255012138
autoenv,32,14,255796190
autoenv,32,15,255488542
easyenv,64,1,2801829
easyenv,64,2,2652950
easyenv,64,3,2603130
easyenv,64,4,2894632
easyenv,64,5,2744111
easyenv,64,6,2623711
easyenv,64,7,2594493
easyenv,64,8,2594473
easyenv,64,9,2645959
easyenv,64,10,2618681
easyenv,64,11,2598224
easyenv,64,12,2572502
easyenv,64,13,2696184
easyenv,64,14,2563847
easyenv,64,15,2573422
direnv,64,1,22385526
direnv,64,2,22269639
direnv,64,3,22584094
direnv,64,4,22618703
direnv,64,5,22597590
direnv,64,6,22505702
direnv,64,7,22796304
direnv,64,8,22598345
direnv,64,9,22732434
direnv,64,10,23353188
direnv,64,11,23147800
direnv,64,12,22644155
direnv,64,13,23135658
direnv,64,14,22823651
direnv,64,15,22798418
autoenv,64,1,1522321867
autoenv,64,2,527081718
autoenv,64,3,533359338
autoenv,64,4,527907589
autoenv,64,5,525523820
autoenv,64,6,528254079
autoenv,64,7,530511588
autoenv,64,8,530764920
autoenv,64,9,521133123
autoenv,64,10,573327854
autoenv,64,11,534199382
autoenv,64,12,535240009
autoenv,64,13,530888981
autoenv,64,14,523133011
autoenv,64,15,529281123
easyenv,128,1,3947493
easyenv,128,2,3646028
easyenv,128,3,3625861
easyenv,128,4,3622692
easyenv,128,5,3660992
easyenv,128,6,3825418
easyenv,128,7,3661586
easyenv,128,8,3849133
easyenv,128,9,3635471
easyenv,128,10,3697187
easyenv,128,11,3569365
easyenv,128,12,3639059
easyenv,128,13,3615878
easyenv,128,14,3619050
easyenv,128,15,3611815
direnv,128,1,76370417
direnv,128,2,75710917
direnv,128,3,75200544
direnv,128,4,76031861
direnv,128,5,75373558
direnv,128,6,75478229
direnv,128,7,75105619
direnv,128,8,75179555
direnv,128,9,75148809
direnv,128,10,76077279
direnv,128,11,75461570
direnv,128,12,75182959
direnv,128,13,76127320
direnv,128,14,76662574
direnv,128,15,79255158
autoenv,128,1,2739027156
autoenv,128,2,1173508182
autoenv,128,3,1165536012
autoenv,128,4,1176213233
autoenv,128,5,1160162815
autoenv,128,6,1209018332
autoenv,128,7,1195206385
autoenv,128,8,1210448779
autoenv,128,9,1198348098
autoenv,128,10,1214856585
autoenv,128,11,1228322145
autoenv,128,12,1220214592
autoenv,128,13,1178725436
autoenv,128,14,1217208614
autoenv,128,15,1202426081
